train_loss,val_acc,val_f1
0.7308654546737671,0.55,0.3903225806451613
0.6577103495597839,0.55,0.3903225806451613
0.6733601927757263,0.55,0.3903225806451613
0.6416707396507263,0.5,0.36666666666666664
0.5698342502117157,0.45,0.3413793103448276
0.554247897863388,0.4,0.3142857142857143
0.5333926796913147,0.3,0.2538461538461539
0.40707302689552305,0.25,0.22000000000000003
0.33430675864219667,0.25,0.22000000000000003
0.33205251693725585,0.35,0.28518518518518515
0.45971794724464415,0.35,0.28518518518518515
0.3271101891994476,0.4,0.3142857142857143
0.2770708054304123,0.5,0.36666666666666664
0.22241179943084716,0.45,0.3413793103448276
0.257021552324295,0.35,0.28518518518518515
0.23652699291706086,0.3,0.2538461538461539
