metric,mean,median,std,min,25%,75%,max,missing
duration_sec,5.387996327248206,4.42,4.11223136687051,0.1,2.656,7.98775,37.408,0
speech_ratio,0.17943862146224246,0.14872994652406415,0.16487732321164278,0.0,0.030453879941434822,0.28124621166201963,0.9909608302644793,0
snr_db,2.9692230905902406,2.2531394958496094,6.550839539072138,-28.26209831237793,0.0,4.967472076416016,71.97695922851562,0
speech_segments,2.910986946678869,2.0,3.2417042774177363,0.0,1.0,4.0,43.0,0
avg_segment_snr,2.208216686549513,1.4974887371063232,5.995257646869496,-27.63465118408203,0.0,3.6473231315612793,71.97695922851562,0
